Key	기준단가	기준일	버전	비고
일반토사 굴착 및 상수도관 설치 후 원상복구|D25|원상복구	130000	2026-08-19	Ver3.0	측구 밖·비포장 일반토사 구간 기준. 굴착, 관부설, 되메우기·다짐, 표토 정리·원상복구 포함. 포장복구 제외.
일반토사 굴착 및 상수도관 설치 후 원상복구|D32|원상복구	130000	2026-08-19	Ver3.0	측구 밖·비포장 일반토사 구간 기준. 굴착, 관부설, 되메우기·다짐, 표토 정리·원상복구 포함. 포장복구 제외.
일반토사 굴착 및 상수도관 설치 후 원상복구|D50|원상복구	135000	2026-08-19	Ver3.0	측구 밖·비포장 일반토사 구간 기준. 굴착, 관부설, 되메우기·다짐, 표토 정리·원상복구 포함. 포장복구 제외.
일반토사 굴착 및 상수도관 설치 후 원상복구|D80|원상복구	150000	2026-08-19	Ver3.0	측구 밖·비포장 일반토사 구간 기준. 굴착, 관부설, 되메우기·다짐, 표토 정리·원상복구 포함. 포장복구 제외.
일반토사 굴착 및 상수도관 설치 후 원상복구|D100|원상복구	180000	2026-08-19	Ver3.0	측구 밖·비포장 일반토사 구간 기준. 굴착, 관부설, 되메우기·다짐, 표토 정리·원상복구 포함. 포장복구 제외.
일반토사 굴착 및 상수도관 설치 후 원상복구|D150|원상복구	235000	2026-08-19	Ver3.0	측구 밖·비포장 일반토사 구간 기준. 굴착, 관부설, 되메우기·다짐, 표토 정리·원상복구 포함. 포장복구 제외.
일반토사 굴착 및 상수도관 설치 후 원상복구|D200|원상복구	300000	2026-08-19	Ver3.0	측구 밖·비포장 일반토사 구간 기준. 굴착, 관부설, 되메우기·다짐, 표토 정리·원상복구 포함. 포장복구 제외.
일반토사 굴착 및 상수도관 설치 후 원상복구|D250|원상복구	370000	2026-08-19	Ver3.0	측구 밖·비포장 일반토사 구간 기준. 굴착, 관부설, 되메우기·다짐, 표토 정리·원상복구 포함. 포장복구 제외.
일반토사 굴착 및 상수도관 설치 후 원상복구|D300|원상복구	455000	2026-08-19	Ver3.0	측구 밖·비포장 일반토사 구간 기준. 굴착, 관부설, 되메우기·다짐, 표토 정리·원상복구 포함. 포장복구 제외.
보도블록 전폭복구 추가면적|-|-	45000	2026-08-19	Ver3.0	전폭복구 시 기본 굴착폭을 초과하는 보도면적의 개략 추가단가(가정값).
아스콘 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D15|쪽포장	195000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
아스콘 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D20|쪽포장	200000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
아스콘 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D25|쪽포장	205000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
아스콘 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D32|쪽포장	210000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
아스콘 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D50|쪽포장	235000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
아스콘 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D80|쪽포장	260000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
아스콘 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D100|쪽포장	295000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
아스콘 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D150|쪽포장	370000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
아스콘 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D200|쪽포장	455000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
아스콘 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D250|쪽포장	555000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
아스콘 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D300|쪽포장	665000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 콘크리트 포장복구|D15|쪽포장	215000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 콘크리트 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 콘크리트 포장복구|D20|쪽포장	220000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 콘크리트 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 콘크리트 포장복구|D25|쪽포장	225000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 콘크리트 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 콘크리트 포장복구|D32|쪽포장	230000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 콘크리트 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 콘크리트 포장복구|D50|쪽포장	255000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 콘크리트 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 콘크리트 포장복구|D80|쪽포장	280000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 콘크리트 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 콘크리트 포장복구|D100|쪽포장	315000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 콘크리트 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 콘크리트 포장복구|D150|쪽포장	395000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 콘크리트 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 콘크리트 포장복구|D200|쪽포장	485000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 콘크리트 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 콘크리트 포장복구|D250|쪽포장	590000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 콘크리트 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 콘크리트 포장복구|D300|쪽포장	705000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 콘크리트 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D15|쪽포장	205000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D20|쪽포장	210000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D25|쪽포장	215000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D32|쪽포장	220000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D50|쪽포장	245000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D80|쪽포장	270000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D100|쪽포장	305000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D150|쪽포장	385000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D200|쪽포장	470000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D250|쪽포장	570000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
콘크리트 구간 기존 노후관 철거 후 상수도관 재설치 및 아스콘 포장복구|D300|쪽포장	685000	2026-08-19	Ver3.0	기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 아스콘 쪽포장 복구. 기존관경≈신설관경 가정.
인도(보도블록) 기존 노후관 철거 후 상수도관 재설치 및 인도 복구|D15|쪽포장	175000	2026-08-19	Ver3.0	보도블록 해체 + 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 보도블록 재설치.
인도(보도블록) 기존 노후관 철거 후 상수도관 재설치 및 인도 복구|D20|쪽포장	180000	2026-08-19	Ver3.0	보도블록 해체 + 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 보도블록 재설치.
인도(보도블록) 기존 노후관 철거 후 상수도관 재설치 및 인도 복구|D25|쪽포장	185000	2026-08-19	Ver3.0	보도블록 해체 + 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 보도블록 재설치.
인도(보도블록) 기존 노후관 철거 후 상수도관 재설치 및 인도 복구|D32|쪽포장	190000	2026-08-19	Ver3.0	보도블록 해체 + 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 보도블록 재설치.
인도(보도블록) 기존 노후관 철거 후 상수도관 재설치 및 인도 복구|D50|쪽포장	215000	2026-08-19	Ver3.0	보도블록 해체 + 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 보도블록 재설치.
인도(보도블록) 기존 노후관 철거 후 상수도관 재설치 및 인도 복구|D80|쪽포장	240000	2026-08-19	Ver3.0	보도블록 해체 + 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 보도블록 재설치.
인도(보도블록) 기존 노후관 철거 후 상수도관 재설치 및 인도 복구|D100|쪽포장	275000	2026-08-19	Ver3.0	보도블록 해체 + 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 보도블록 재설치.
인도(보도블록) 기존 노후관 철거 후 상수도관 재설치 및 인도 복구|D150|쪽포장	350000	2026-08-19	Ver3.0	보도블록 해체 + 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 보도블록 재설치.
인도(보도블록) 기존 노후관 철거 후 상수도관 재설치 및 인도 복구|D200|쪽포장	430000	2026-08-19	Ver3.0	보도블록 해체 + 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 보도블록 재설치.
인도(보도블록) 기존 노후관 철거 후 상수도관 재설치 및 인도 복구|D250|쪽포장	525000	2026-08-19	Ver3.0	보도블록 해체 + 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 보도블록 재설치.
인도(보도블록) 기존 노후관 철거 후 상수도관 재설치 및 인도 복구|D300|쪽포장	630000	2026-08-19	Ver3.0	보도블록 해체 + 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 보도블록 재설치.
일반토사 구간 기존 노후관 철거 후 상수도관 재설치 및 원상복구|D15|원상복구	145000	2026-08-19	Ver3.0	측구 밖·비포장 구간. 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 표토 원상복구.
일반토사 구간 기존 노후관 철거 후 상수도관 재설치 및 원상복구|D20|원상복구	150000	2026-08-19	Ver3.0	측구 밖·비포장 구간. 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 표토 원상복구.
일반토사 구간 기존 노후관 철거 후 상수도관 재설치 및 원상복구|D25|원상복구	150000	2026-08-19	Ver3.0	측구 밖·비포장 구간. 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 표토 원상복구.
일반토사 구간 기존 노후관 철거 후 상수도관 재설치 및 원상복구|D32|원상복구	150000	2026-08-19	Ver3.0	측구 밖·비포장 구간. 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 표토 원상복구.
일반토사 구간 기존 노후관 철거 후 상수도관 재설치 및 원상복구|D50|원상복구	160000	2026-08-19	Ver3.0	측구 밖·비포장 구간. 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 표토 원상복구.
일반토사 구간 기존 노후관 철거 후 상수도관 재설치 및 원상복구|D80|원상복구	180000	2026-08-19	Ver3.0	측구 밖·비포장 구간. 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 표토 원상복구.
일반토사 구간 기존 노후관 철거 후 상수도관 재설치 및 원상복구|D100|원상복구	215000	2026-08-19	Ver3.0	측구 밖·비포장 구간. 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 표토 원상복구.
일반토사 구간 기존 노후관 철거 후 상수도관 재설치 및 원상복구|D150|원상복구	285000	2026-08-19	Ver3.0	측구 밖·비포장 구간. 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 표토 원상복구.
일반토사 구간 기존 노후관 철거 후 상수도관 재설치 및 원상복구|D200|원상복구	365000	2026-08-19	Ver3.0	측구 밖·비포장 구간. 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 표토 원상복구.
일반토사 구간 기존 노후관 철거 후 상수도관 재설치 및 원상복구|D250|원상복구	455000	2026-08-19	Ver3.0	측구 밖·비포장 구간. 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 표토 원상복구.
일반토사 구간 기존 노후관 철거 후 상수도관 재설치 및 원상복구|D300|원상복구	560000	2026-08-19	Ver3.0	측구 밖·비포장 구간. 기존 노후관 철거·반출 + 신규관 부설 + 되메우기·다짐 + 표토 원상복구.
